id,query,dimension_tuple_json,is_realistic_and_kept,Open_Code_Notes,Localization_Errors,Incorrect_Assumption_Number_People,
SYN001,¿Qué puedo desayunar si sigo una dieta keto?,"{""meal_type"":""breakfast"",""diet_type"":""keto""}",1,"Los títulos de las secciones aparecen en inglés en lugar del idioma de la consulta. Da la receta para dos personas aunque la consulta no lo especifica directamente, aunque da a entender que es una una sóla.",1,1
SYN002,Ideas de desayuno paleto rápido para dos personas,"{""meal_type"":""breakfast"",""diet_type"":""paleto""}",1,"Los títulos de las secciones aparecen en inglés en lugar del idioma de la consulta.",1,0
SYN003,Busco recetas indias halal sin productos lácteos,"{""cuisine_type"":""Indian"",""ethical_or_religious_restriction"":""halal"",""food_allergies"":""dairy""}",1,"",0,0
SYN004,¿Tienes platos del Mediterráneo que sean kosher pero sin leche ni queso?,"{""cuisine_type"":""Mediterranean"",""ethical_or_religious_restriction"":""kosher"",""food_allergies"":""dairy""}",1,"Los títulos de las secciones aparecen en inglés en lugar del idioma de la consulta.",1,0
SYN005,Comida baja en carbohidratos para el almuerzo sin gluten,"{""meal_type"":""lunch"",""diet_type"":""low-carb"",""food_allergies"":""gluten""}",1,"Da la receta para dos personas aunque la consulta no lo especifica directamente, aunque da a entender que es una una sóla.",0,1
SYN006,Recetas sin gluten y bajas en carbohidratos para almorzar con amigos,"{""meal_type"":""lunch"",""diet_type"":""low-carb"",""food_allergies"":""gluten""}",1,"Los títulos de las secciones aparecen en inglés en lugar del idioma de la consulta.",1,0
SYN007,Soy intolerante al gluten y busco ideas bajas en carbohidratos para el almuerzo,"{""meal_type"":""lunch"",""diet_type"":""low-carb"",""food_allergies"":""gluten""}",1,"Los títulos de las secciones aparecen en inglés en lugar del idioma de la consulta. Da la receta para cuatro personas aunque la consulta no lo especifica el número de comensales.",1,1
SYN008,¿Qué puedo comer si no puedo consumir gluten ni soya porque soy alérgico a esta?,"{""diet_type"":""gluten-free"",""food_allergies"":""soy""}",1,"Los títulos de las secciones aparecen en inglés en lugar del idioma de la consulta.",1,0
SYN009,Recetas fáciles sin gluten ni soya,"{""diet_type"":""gluten-free"",""food_allergies"":""soy""}",1,"Los títulos de las secciones aparecen en inglés en lugar del idioma de la consulta.",1,0
SYN010,"Platos mediterráneos que sean halal, por favor","{""diet_type"":""Mediterranean"",""ethical_or_religious_restriction"":""halal""}",1,"Los títulos de las secciones aparecen en inglés en lugar del idioma de la consulta. Da la receta para dos personas aunque la consulta no lo especifica directamente, aunque da a entender que es una una sóla.",1,1
SYN011,¿Tienes recetas halal con estilo mediterráneo para cuatro personas?,"{""diet_type"":""Mediterranean"",""ethical_or_religious_restriction"":""halal""}",1,"",0,0
SYN012,Busco postres que no lleven huevo,"{""meal_type"":""dessert"",""food_allergies"":""eggs""}",1,"",0,0
SYN013,¿Me das ideas de postres sin huevo para una fiesta?,"{""meal_type"":""dessert"",""food_allergies"":""eggs""}",1,"Los títulos de las secciones aparecen en inglés en lugar del idioma de la consulta.",1,0
SYN014,Quiero hacer un dulce sin usar huevos,"{""meal_type"":""dessert"",""food_allergies"":""eggs""}",1,"",0,0
SYN015,¿Qué comida china puedo hacer sin sal y sin glutamato?,"{""cuisine_type"":""Chinese"",""food_allergies"":""MSG"",""diet_type"":""low-sodium""}",1,"",0,0
SYN016,Receta china sin MSG y baja en sodio para tres personas,"{""cuisine_type"":""Chinese"",""food_allergies"":""MSG"",""diet_type"":""low-sodium""}",1,"Los títulos de las secciones aparecen en inglés en lugar del idioma de la consulta.",1,0
